Date,Close/Last,Volume,Open,High,Low
04/28/2021,5.2777,--,5.3033,5.3987,5.0995
04/27/2021,5.2639,--,5.2124,5.2929,5.0351
04/26/2021,5.058,--,5.0345,5.0913,4.7527
04/23/2021,4.6998,--,4.5827,4.8103,4.4838
04/22/2021,4.8989,--,5.247,5.3008,4.7527
04/21/2021,5.1236,--,5.1532,5.2824,4.9783
04/20/2021,5.1997,--,5.0599,5.2403,4.786
04/19/2021,5.0981,--,5.1677,5.2989,4.8805
04/16/2021,5.6197,--,5.4604,5.662,5.3639
04/15/2021,5.6838,--,5.5327,5.7007,5.4548
04/14/2021,5.5106,--,5.5432,5.6602,5.3231
04/13/2021,5.384,--,5.3056,5.4665,5.0908
4/12/2021,5.0644,--,5.0953,5.0993,4.9879
4/09/2021,4.7666,--,4.7605,4.7896,4.7108
4/08/2021,4.728,--,4.65,4.7288,4.5148
4/07/2021,4.5407,--,4.5216,4.5901,4.4167
4/06/2021,4.7501,--,4.7665,4.792,4.5885
4/05/2021,4.7163,--,4.5784,4.7294,4.4453
4/01/2021,4.4162,--,4.3678,4.4361,4.3114
03/31/2021,4.3562,--,4.2393,4.389,4.1457
03/30/2021,4.3026,--,4.3141,4.325,4.2667
03/29/2021,4.2141,--,4.2116,4.2508,3.9909
03/26/2021,3.9736,--,3.8701,3.9854,3.7545
03/25/2021,3.7877,--,3.6775,3.8083,3.6423
03/24/2021,3.7257,--,4.112,4.1268,3.7212
03/23/2021,3.9585,--,3.996,4.0493,3.8513
03/22/2021,3.9383,--,4.1529,4.2079,3.8937
03/19/2021,4.2141,--,4.2088,4.2556,4.062
03/18/2021,4.1446,--,4.1827,4.2743,4.0827
03/17/2021,4.1438,--,3.9946,4.1644,3.923
03/16/2021,4.0656,--,3.9554,4.0735,3.8171
03/15/2021,4.0026,--,3.9968,4.0609,3.9446
3/12/2021,4.0447,--,3.9402,4.0684,3.9227
3/11/2021,4.1164,--,4.0989,4.1226,4.0904
3/10/2021,3.984,--,3.9999,4.0107,3.967
3/09/2021,4.0767,--,4.0952,4.1095,4.0767
3/08/2021,3.9309,--,3.8745,3.9334,3.8745
3/05/2021,3.5566,--,3.504,3.5947,3.3654
3/04/2021,3.3823,--,3.4089,3.4222,3.3742
3/03/2021,3.7441,--,3.7076,3.7483,3.6941
3/02/2021,3.559,--,3.5434,3.5707,3.5409
3/01/2021,3.5756,--,3.6061,3.6061,3.5586
02/26/2021,3.3473,--,3.3711,3.5531,3.1807
02/25/2021,3.4173,--,3.377,3.4331,3.3561
02/24/2021,3.7109,--,3.703,3.7187,3.6931
02/23/2021,3.5496,--,3.4915,3.559,3.4797
02/22/2021,3.8786,--,3.9445,3.9921,3.8715
02/19/2021,4.2503,--,4.0877,4.2541,3.8554
02/18/2021,3.9267,--,3.9119,3.9306,3.8996
02/17/2021,3.8542,--,3.8397,3.8559,3.8345
02/16/2021,3.6092,--,3.6084,3.6379,3.6005
2/12/2021,3.6696,--,3.7003,3.7342,3.3579
2/11/2021,3.5433,--,3.5468,3.5539,3.532
2/10/2021,3.337,--,3.3332,3.3422,3.3037
2/09/2021,3.3654,--,3.3766,3.3826,3.3602
2/08/2021,3.2342,--,3.2768,3.2768,3.2308
2/05/2021,2.9173,--,2.8987,2.9359,2.7332
2/04/2021,2.7746,--,2.7666,2.7847,2.7624
2/03/2021,2.8173,--,2.8089,2.8255,2.8036
2/02/2021,2.6248,--,2.6321,2.6359,2.6226
2/01/2021,2.4449,--,2.4531,2.4531,2.4421
01/29/2021,2.4143,--,2.5992,2.6071,2.2872
01/28/2021,2.3884,--,2.4082,2.4175,2.3856
01/27/2021,2.1654,--,2.1723,2.1756,2.155
01/26/2021,2.2886,--,2.3081,2.3143,2.2862
01/25/2021,2.3192,--,2.3344,2.3345,2.3105
01/22/2021,2.2624,--,2.2332,2.3186,1.955
01/21/2021,2.0055,--,1.9941,2.0164,1.955
01/20/2021,2.4246,--,2.4469,2.452,2.4197
01/19/2021,2.4909,--,2.5115,2.5129,2.4862
01/15/2021,2.4387,--,2.4208,2.4875,2.3339
01/14/2021,2.5473,--,2.5356,2.5516,2.5299
01/13/2021,2.4038,--,2.4137,2.4146,2.3814
1/12/2021,2.1099,--,2.0926,2.1451,2.0914
1/11/2021,2.2432,--,2.2358,2.2713,2.2357
1/08/2021,2.5625,--,2.4234,2.6134,2.3108
1/07/2021,2.3977,--,2.3983,2.411,2.391
1/06/2021,2.4129,--,2.411,2.4177,2.4091
1/05/2021,2.1798,--,2.1891,2.1955,2.1753
1/04/2021,2.1233,--,2.121,2.1391,2.099
12/31/2020,1.801,--,1.7856,1.8265,1.7643
12/30/2020,1.7509,--,1.7866,1.7913,1.7429
12/29/2020,1.7305,--,1.7365,1.7405,1.73
12/28/2020,1.6864,--,1.6927,1.6936,1.6803
12/24/2020,1.5646,--,1.5152,1.5856,1.499
12/23/2020,1.4445,--,1.446,1.4529,1.4399
12/22/2020,1.5615,--,1.5752,1.5778,1.5605
12/21/2020,1.5036,--,1.5055,1.5138,1.4967
12/18/2020,1.569,--,1.5517,1.5925,1.527
12/17/2020,1.5739,--,1.5491,1.5744,1.5399
12/16/2020,1.5147,--,1.5003,1.5233,1.5003
12/15/2020,1.3524,--,1.3519,1.3545,1.349
12/14/2020,1.363,--,1.3663,1.3672,1.3617
12/11/2020,1.2842,--,1.2779,1.2977,1.2492
12/10/2020,1.2733,--,1.2817,1.2863,1.2721
12/09/2020,1.321,--,1.3199,1.3239,1.3161
12/08/2020,1.2989,--,1.2955,1.3026,1.2846
12/07/2020,1.3759,--,1.3788,1.3791,1.3735
12/04/2020,1.3423,--,1.3657,1.4063,1.3257
12/03/2020,1.398,--,1.4047,1.4063,1.3963
12/02/2020,1.3739,--,1.382,1.382,1.3723
12/01/2020,1.3549,--,1.3575,1.358,1.3488
11/30/2020,1.4062,--,1.4114,1.4154,1.4037
11/27/2020,1.227,--,1.22,1.258,1.1804
11/25/2020,1.2184,--,1.3662,1.3678,1.156
11/24/2020,1.4008,--,1.3999,1.4048,1.3992
11/23/2020,1.3503,--,1.3397,1.3515,1.3374
11/20/2020,1.2895,--,1.2671,1.2978,1.2261
11/19/2020,1.2352,--,1.2282,1.2353,1.2261
11/18/2020,1.2245,--,1.2265,1.2269,1.2224
11/17/2020,1.2268,--,1.2288,1.2288,1.2221
11/16/2020,1.1649,--,1.1693,1.1693,1.1645
11/13/2020,1.141,--,1.1334,1.1444,1.1156
11/12/2020,1.1388,--,1.1389,1.144,1.1365
11/11/2020,1.0946,--,1.0931,1.0952,1.0905
11/10/2020,1.0868,--,1.087,1.0893,1.0836
11/09/2020,1.0761,--,1.0735,1.0768,1.0723
11/06/2020,1.0966,--,1.095,1.1049,1.0635
11/05/2020,1.0956,--,1.0986,1.1049,1.0914
